fichier,titre,description,image
brise_glace.png,Brise-glace,"A participé à l'activité brise-glace",ice.svg
tome_savoir.png,Tome du savoir,"A emprunté un document de la bibliothèque de la bibliographie suggérée",book.svg
pilier_communaute.png,Pilier,"A participé au comité étudiant",bank.svg
sentinelle.png,Sentinelle,"Non 1ère année qui a aidé à l'organisation du brise-glace",hamsa.svg
membre_communaute.png,Participatif,"A participé à une activité du comité étudiant",heart.svg
tete_chercheuse.png,Tête chercheuse,"A participé au tutorat en 1ère année",bullseye.svg
disciple_aguerri.png,Disciple aguerri,"A participé au tutorat en 2ème année",brain.svg
flambeau_savoir.png,Flambeau du savoir,"A été tutrice ou tuteur",fire.svg
heraut.png,Héraut,"A participé à faire rayonner le programme lors des portes ouvertes",horn.svg
intendance_extradimensionnelle.png,Intendance,"Responsabilité avec le prêt d'équipement collectif",toolbox.svg
scribe.png,Scribe,"A aidé à la mise à jour des badges",scroll.svg
quete_optionnelle.png,Quête optionnelle,"A participé à un événement multimédia non requis",ninja.svg
essayiste.png,Essayiste,"A participé et été présent au concours d'essais audiovisuels",movie.svg
niveau_experience_1.png,Niveau 1,"A complété tous ses cours de première année",floppy.svg
niveau_experience_2.png,Niveau 2,"A complété tous ses cours de deuxième année",cd.svg
niveau_experience_3.png,Niveau 3,"A complété tous ses cours de troisième année",trophy.svg
